time(UTC),GHI,DNI,DHI
20060101:0000,0.0,0.0,0.0
20060101:0100,0.0,0.0,0.0
20060101:0200,0.0,0.0,0.0
20060101:0300,0.0,0.0,0.0
20060101:0400,0.0,0.0,0.0
20060101:0500,0.0,0.0,0.0
20060101:0600,0.0,0.0,0.0
20060101:0700,0.0,0.0,0.0
20060101:0800,47.15,175.95,30.35
20060101:0900,185.0,446.47,83.0
20060101:1000,319.0,754.02,72.0
20060101:1100,381.0,751.13,91.0
20060101:1200,295.0,257.51,192.0
20060101:1300,253.0,200.9,179.0
20060101:1400,157.0,75.0,135.0
20060101:1500,59.0,5.56,58.0
20060101:1600,0.0,0.0,0.0
20060101:1700,0.0,0.0,0.0
20060101:1800,0.0,0.0,0.0
20060101:1900,0.0,0.0,0.0
20060101:2000,0.0,0.0,0.0
20060101:2100,0.0,0.0,0.0
20060101:2200,0.0,0.0,0.0
20060101:2300,0.0,0.0,0.0
20060102:0000,0.0,0.0,0.0
20060102:0100,0.0,0.0,0.0
20060102:0200,0.0,0.0,0.0
20060102:0300,0.0,0.0,0.0
20060102:0400,0.0,0.0,0.0
20060102:0500,0.0,0.0,0.0
20060102:0600,0.0,0.0,0.0
20060102:0700,0.0,0.0,0.0
20060102:0800,43.85,143.36,30.15
20060102:0900,62.0,0.0,62.0
20060102:1000,126.0,9.14,123.0
20060102:1100,145.0,5.17,143.0
20060102:1200,180.0,22.42,171.0
20060102:1300,131.0,2.7,130.0
20060102:1400,74.0,0.0,74.0
20060102:1500,36.0,0.0,36.0
20060102:1600,0.0,0.0,0.0
20060102:1700,0.0,0.0,0.0
20060102:1800,0.0,0.0,0.0
20060102:1900,0.0,0.0,0.0
20060102:2000,0.0,0.0,0.0
20060102:2100,0.0,0.0,0.0
20060102:2200,0.0,0.0,0.0
20060102:2300,0.0,0.0,0.0
20060103:0000,0.0,0.0,0.0
20060103:0100,0.0,0.0,0.0
20060103:0200,0.0,0.0,0.0
20060103:0300,0.0,0.0,0.0
20060103:0400,0.0,0.0,0.0
20060103:0500,0.0,0.0,0.0
20060103:0600,0.0,0.0,0.0
20060103:0700,0.0,0.0,0.0
20060103:0800,46.7,188.49,28.65
20060103:0900,59.0,0.0,59.0
20060103:1000,44.0,0.0,44.0
20060103:1100,74.0,0.0,74.0
20060103:1200,112.0,0.0,112.0
20060103:1300,197.0,61.83,174.0
20060103:1400,55.0,0.0,55.0
20060103:1500,52.0,0.0,52.0
20060103:1600,1.0,24.49,0.0
20060103:1700,0.0,0.0,0.0
20060103:1800,0.0,0.0,0.0
20060103:1900,0.0,0.0,0.0
20060103:2000,0.0,0.0,0.0
20060103:2100,0.0,0.0,0.0
20060103:2200,0.0,0.0,0.0
20060103:2300,0.0,0.0,0.0
20060104:0000,0.0,0.0,0.0
20060104:0100,0.0,0.0,0.0
20060104:0200,0.0,0.0,0.0
20060104:0300,0.0,0.0,0.0
20060104:0400,0.0,0.0,0.0
20060104:0500,0.0,0.0,0.0
20060104:0600,0.0,0.0,0.0
20060104:0700,0.0,0.0,0.0
20060104:0800,42.05,160.3,26.65
20060104:0900,118.0,69.57,102.0
20060104:1000,162.0,45.44,147.0
20060104:1100,308.0,338.72,176.0
20060104:1200,128.0,0.0,128.0
20060104:1300,252.0,181.85,184.0
20060104:1400,274.0,630.69,85.0
20060104:1500,168.0,711.6,35.0
20060104:1600,16.0,92.34,12.0
20060104:1700,0.0,0.0,0.0
20060104:1800,0.0,0.0,0.0
20060104:1900,0.0,0.0,0.0
20060104:2000,0.0,0.0,0.0
20060104:2100,0.0,0.0,0.0
20060104:2200,0.0,0.0,0.0
20060104:2300,0.0,0.0,0.0
20060105:0000,0.0,0.0,0.0
20060105:0100,0.0,0.0,0.0
20060105:0200,0.0,0.0,0.0
20060105:0300,0.0,0.0,0.0
20060105:0400,0.0,0.0,0.0
20060105:0500,0.0,0.0,0.0
20060105:0600,0.0,0.0,0.0
20060105:0700,0.0,0.0,0.0
20060105:0800,41.55,149.76,27.1
20060105:0900,138.0,138.7,106.0
20060105:1000,190.0,96.61,158.0
20060105:1100,127.0,0.0,127.0
20060105:1200,207.0,46.75,188.0
20060105:1300,67.0,0.0,67.0
20060105:1400,81.0,0.0,81.0
20060105:1500,44.0,0.0,44.0
20060105:1600,2.0,0.0,2.0
20060105:1700,0.0,0.0,0.0
20060105:1800,0.0,0.0,0.0
20060105:1900,0.0,0.0,0.0
20060105:2000,0.0,0.0,0.0
20060105:2100,0.0,0.0,0.0
20060105:2200,0.0,0.0,0.0
20060105:2300,0.0,0.0,0.0
20060106:0000,0.0,0.0,0.0
20060106:0100,0.0,0.0,0.0
20060106:0200,0.0,0.0,0.0
20060106:0300,0.0,0.0,0.0
20060106:0400,0.0,0.0,0.0
20060106:0500,0.0,0.0,0.0
20060106:0600,0.0,0.0,0.0
20060106:0700,0.0,0.0,0.0
20060106:0800,38.35,115.44,27.15
20060106:0900,189.0,457.75,83.0
20060106:1000,140.0,18.05,134.0
20060106:1100,158.0,10.19,154.0
20060106:1200,147.0,4.9,145.0
20060106:1300,122.0,0.0,122.0
20060106:1400,83.0,0.0,83.0
20060106:1500,53.0,0.0,53.0
20060106:1600,6.0,0.0,6.0
20060106:1700,0.0,0.0,0.0
20060106:1800,0.0,0.0,0.0
20060106:1900,0.0,0.0,0.0
20060106:2000,0.0,0.0,0.0
20060106:2100,0.0,0.0,0.0
20060106:2200,0.0,0.0,0.0
20060106:2300,0.0,0.0,0.0
20060107:0000,0.0,0.0,0.0
20060107:0100,0.0,0.0,0.0
20060107:0200,0.0,0.0,0.0
20060107:0300,0.0,0.0,0.0
20060107:0400,0.0,0.0,0.0
20060107:0500,0.0,0.0,0.0
20060107:0600,0.0,0.0,0.0
20060107:0700,0.0,0.0,0.0
20060107:0800,42.35,140.78,28.6
20060107:0900,114.0,55.9,101.0
20060107:1000,188.0,86.89,159.0
20060107:1100,273.0,200.31,194.0
20060107:1200,322.0,326.55,188.0
20060107:1300,202.0,60.44,179.0
20060107:1400,116.0,9.77,113.0
20060107:1500,97.0,71.92,83.0
20060107:1600,15.0,19.51,14.0
20060107:1700,0.0,0.0,0.0
20060107:1800,0.0,0.0,0.0
20060107:1900,0.0,0.0,0.0
20060107:2000,0.0,0.0,0.0
20060107:2100,0.0,0.0,0.0
20060107:2200,0.0,0.0,0.0
20060107:2300,0.0,0.0,0.0
20060108:0000,0.0,0.0,0.0
20060108:0100,0.0,0.0,0.0
20060108:0200,0.0,0.0,0.0
20060108:0300,0.0,0.0,0.0
20060108:0400,0.0,0.0,0.0
20060108:0500,0.0,0.0,0.0
20060108:0600,0.0,0.0,0.0
20060108:0700,0.0,0.0,0.0
20060108:0800,41.2,134.61,27.95
20060108:0900,143.0,154.09,107.0
20060108:1000,302.0,569.82,111.0
20060108:1100,349.0,507.33,148.0
20060108:1200,329.0,344.26,187.0
20060108:1300,367.0,689.4,103.0
20060108:1400,296.0,733.24,69.0
20060108:1500,157.0,460.95,66.0
20060108:1600,29.0,258.88,15.0
20060108:1700,0.0,0.0,0.0
20060108:1800,0.0,0.0,0.0
20060108:1900,0.0,0.0,0.0
20060108:2000,0.0,0.0,0.0
20060108:2100,0.0,0.0,0.0
20060108:2200,0.0,0.0,0.0
20060108:2300,0.0,0.0,0.0
20060109:0000,0.0,0.0,0.0
20060109:0100,0.0,0.0,0.0
20060109:0200,0.0,0.0,0.0
20060109:0300,0.0,0.0,0.0
20060109:0400,0.0,0.0,0.0
20060109:0500,0.0,0.0,0.0
20060109:0600,0.0,0.0,0.0
20060109:0700,0.0,0.0,0.0
20060109:0800,44.2,157.59,28.55
20060109:0900,96.0,21.29,91.0
20060109:1000,170.0,50.48,153.0
20060109:1100,215.0,65.31,189.0
20060109:1200,233.0,77.16,201.0
20060109:1300,257.0,397.32,103.85
20060109:1400,202.7,337.16,97.4
20060109:1500,70.0,9.99,68.0
20060109:1600,18.0,35.1,16.0
20060109:1700,0.0,0.0,0.0
20060109:1800,0.0,0.0,0.0
20060109:1900,0.0,0.0,0.0
20060109:2000,0.0,0.0,0.0
20060109:2100,0.0,0.0,0.0
20060109:2200,0.0,0.0,0.0
20060109:2300,0.0,0.0,0.0
20060110:0000,0.0,0.0,0.0
20060110:0100,0.0,0.0,0.0
20060110:0200,0.0,0.0,0.0
20060110:0300,0.0,0.0,0.0
20060110:0400,0.0,0.0,0.0
20060110:0500,0.0,0.0,0.0
20060110:0600,0.0,0.0,0.0
20060110:0700,0.0,0.0,0.0
20060110:0800,47.4,179.96,29.35
20060110:0900,119.0,63.52,104.0
20060110:1000,227.0,189.11,163.0
20060110:1100,410.0,849.72,70.0
20060110:1200,423.0,812.82,84.0
20060110:1300,394.0,837.47,69.0
20060110:1400,306.0,764.76,65.0
20060110:1500,132.0,216.52,88.0
20060110:1600,20.0,33.36,18.0
20060110:1700,0.0,0.0,0.0
20060110:1800,0.0,0.0,0.0
20060110:1900,0.0,0.0,0.0
20060110:2000,0.0,0.0,0.0
20060110:2100,0.0,0.0,0.0
20060110:2200,0.0,0.0,0.0
20060110:2300,0.0,0.0,0.0
20060111:0000,0.0,0.0,0.0
20060111:0100,0.0,0.0,0.0
20060111:0200,0.0,0.0,0.0
20060111:0300,0.0,0.0,0.0
20060111:0400,0.0,0.0,0.0
20060111:0500,0.0,0.0,0.0
20060111:0600,0.0,0.0,0.0
20060111:0700,0.0,0.0,0.0
20060111:0800,52.15,210.55,30.8
20060111:0900,145.0,151.51,109.0
20060111:1000,197.0,99.93,163.0
20060111:1100,267.0,169.04,199.0
20060111:1200,319.0,286.04,199.0
20060111:1300,330.0,435.01,160.0
20060111:1400,266.0,455.91,121.0
20060111:1500,134.0,218.19,89.0
20060111:1600,19.0,15.87,18.0
20060111:1700,0.0,0.0,0.0
20060111:1800,0.0,0.0,0.0
20060111:1900,0.0,0.0,0.0
20060111:2000,0.0,0.0,0.0
20060111:2100,0.0,0.0,0.0
20060111:2200,0.0,0.0,0.0
20060111:2300,0.0,0.0,0.0
20060112:0000,0.0,0.0,0.0
20060112:0100,0.0,0.0,0.0
20060112:0200,0.0,0.0,0.0
20060112:0300,0.0,0.0,0.0
20060112:0400,0.0,0.0,0.0
20060112:0500,0.0,0.0,0.0
20060112:0600,0.0,0.0,0.0
20060112:0700,0.0,0.0,0.0
20060112:0800,50.45,198.31,30.1
20060112:0900,197.0,472.5,84.0
20060112:1000,322.0,663.5,95.0
20060112:1100,369.0,568.57,139.0
20060112:1200,272.5,359.65,120.7
20060112:1300,265.45,358.09,124.5
20060112:1400,314.0,784.91,62.0
20060112:1500,180.0,587.52,57.0
20060112:1600,36.0,241.99,20.0
20060112:1700,0.0,0.0,0.0
20060112:1800,0.0,0.0,0.0
20060112:1900,0.0,0.0,0.0
20060112:2000,0.0,0.0,0.0
20060112:2100,0.0,0.0,0.0
20060112:2200,0.0,0.0,0.0
20060112:2300,0.0,0.0,0.0
20060113:0000,0.0,0.0,0.0
20060113:0100,0.0,0.0,0.0
20060113:0200,0.0,0.0,0.0
20060113:0300,0.0,0.0,0.0
20060113:0400,0.0,0.0,0.0
20060113:0500,0.0,0.0,0.0
20060113:0600,0.0,0.0,0.0
20060113:0700,0.0,0.0,0.0
20060113:0800,49.85,187.6,30.35
20060113:0900,220.0,681.01,56.0
20060113:1000,342.0,807.8,64.0
20060113:1100,415.0,835.63,75.0
20060113:1200,436.0,847.56,76.0
20060113:1300,404.0,844.82,69.0
20060113:1400,316.0,771.24,66.0
20060113:1500,183.0,592.81,57.0
20060113:1600,38.0,245.26,21.0
20060113:1700,0.0,0.0,0.0
20060113:1800,0.0,0.0,0.0
20060113:1900,0.0,0.0,0.0
20060113:2000,0.0,0.0,0.0
20060113:2100,0.0,0.0,0.0
20060113:2200,0.0,0.0,0.0
20060113:2300,0.0,0.0,0.0
20060114:0000,0.0,0.0,0.0
20060114:0100,0.0,0.0,0.0
20060114:0200,0.0,0.0,0.0
20060114:0300,0.0,0.0,0.0
20060114:0400,0.0,0.0,0.0
20060114:0500,0.0,0.0,0.0
20060114:0600,0.0,0.0,0.0
20060114:0700,0.0,0.0,0.0
20060114:0800,49.8,181.72,30.65
20060114:0900,221.0,667.77,59.0
20060114:1000,345.0,808.6,65.0
20060114:1100,418.0,837.92,75.0
20060114:1200,440.0,849.09,77.0
20060114:1300,403.0,813.42,78.0
20060114:1400,321.0,788.17,63.0
20060114:1500,191.0,644.06,52.0
20060114:1600,45.0,358.22,19.0
20060114:1700,0.0,0.0,0.0
20060114:1800,0.0,0.0,0.0
20060114:1900,0.0,0.0,0.0
20060114:2000,0.0,0.0,0.0
20060114:2100,0.0,0.0,0.0
20060114:2200,0.0,0.0,0.0
