time(UTC),GHI,DNI,DHI
20100101:0000,0.0,0.0,0.0
20100101:0100,0.0,0.0,0.0
20100101:0200,0.0,0.0,0.0
20100101:0300,0.0,0.0,0.0
20100101:0400,0.0,0.0,0.0
20100101:0500,0.0,0.0,0.0
20100101:0600,0.0,0.0,0.0
20100101:0700,0.0,0.0,0.0
20100101:0800,0.0,0.0,0.0
20100101:0900,132.0,510.53,49.0
20100101:1000,238.0,660.93,67.0
20100101:1100,305.0,717.79,77.0
20100101:1200,325.0,733.66,79.0
20100101:1300,298.0,721.39,74.0
20100101:1400,219.0,616.45,68.0
20100101:1500,110.0,461.23,44.0
20100101:1600,0.0,0.0,0.0
20100101:1700,0.0,0.0,0.0
20100101:1800,0.0,0.0,0.0
20100101:1900,0.0,0.0,0.0
20100101:2000,0.0,0.0,0.0
20100101:2100,0.0,0.0,0.0
20100101:2200,0.0,0.0,0.0
20100101:2300,0.0,0.0,0.0
20100102:0000,0.0,0.0,0.0
20100102:0100,0.0,0.0,0.0
20100102:0200,0.0,0.0,0.0
20100102:0300,0.0,0.0,0.0
20100102:0400,0.0,0.0,0.0
20100102:0500,0.0,0.0,0.0
20100102:0600,0.0,0.0,0.0
20100102:0700,0.0,0.0,0.0
20100102:0800,0.0,0.0,0.0
20100102:0900,130.0,472.29,53.0
20100102:1000,239.0,658.95,68.0
20100102:1100,306.0,718.43,77.0
20100102:1200,325.0,718.66,83.0
20100102:1300,300.0,723.79,74.0
20100102:1400,233.0,737.04,51.0
20100102:1500,78.0,117.03,61.0
20100102:1600,0.0,0.0,0.0
20100102:1700,0.0,0.0,0.0
20100102:1800,0.0,0.0,0.0
20100102:1900,0.0,0.0,0.0
20100102:2000,0.0,0.0,0.0
20100102:2100,0.0,0.0,0.0
20100102:2200,0.0,0.0,0.0
20100102:2300,0.0,0.0,0.0
20100103:0000,0.0,0.0,0.0
20100103:0100,0.0,0.0,0.0
20100103:0200,0.0,0.0,0.0
20100103:0300,0.0,0.0,0.0
20100103:0400,0.0,0.0,0.0
20100103:0500,0.0,0.0,0.0
20100103:0600,0.0,0.0,0.0
20100103:0700,0.0,0.0,0.0
20100103:0800,0.0,0.0,0.0
20100103:0900,34.0,0.0,34.0
20100103:1000,148.0,107.53,120.0
20100103:1100,190.0,115.63,153.0
20100103:1200,221.0,171.45,163.0
20100103:1300,232.0,283.35,143.0
20100103:1400,161.0,188.73,114.0
20100103:1500,84.0,149.12,62.0
20100103:1600,0.0,0.0,0.0
20100103:1700,0.0,0.0,0.0
20100103:1800,0.0,0.0,0.0
20100103:1900,0.0,0.0,0.0
20100103:2000,0.0,0.0,0.0
20100103:2100,0.0,0.0,0.0
20100103:2200,0.0,0.0,0.0
20100103:2300,0.0,0.0,0.0
20100104:0000,0.0,0.0,0.0
20100104:0100,0.0,0.0,0.0
20100104:0200,0.0,0.0,0.0
20100104:0300,0.0,0.0,0.0
20100104:0400,0.0,0.0,0.0
20100104:0500,0.0,0.0,0.0
20100104:0600,0.0,0.0,0.0
20100104:0700,0.0,0.0,0.0
20100104:0800,0.0,0.0,0.0
20100104:0900,84.0,85.2,70.0
20100104:1000,111.0,22.95,105.0
20100104:1100,276.0,491.69,118.0
20100104:1200,323.0,682.4,91.0
20100104:1300,301.0,699.23,80.0
20100104:1400,222.0,589.1,74.0
20100104:1500,119.0,500.33,44.0
20100104:1600,0.0,0.0,0.0
20100104:1700,0.0,0.0,0.0
20100104:1800,0.0,0.0,0.0
20100104:1900,0.0,0.0,0.0
20100104:2000,0.0,0.0,0.0
20100104:2100,0.0,0.0,0.0
20100104:2200,0.0,0.0,0.0
20100104:2300,0.0,0.0,0.0
20100105:0000,0.0,0.0,0.0
20100105:0100,0.0,0.0,0.0
20100105:0200,0.0,0.0,0.0
20100105:0300,0.0,0.0,0.0
20100105:0400,0.0,0.0,0.0
20100105:0500,0.0,0.0,0.0
20100105:0600,0.0,0.0,0.0
20100105:0700,0.0,0.0,0.0
20100105:0800,0.0,0.0,0.0
20100105:0900,133.0,496.54,51.0
20100105:1000,234.0,590.31,79.0
20100105:1100,302.0,656.72,90.0
20100105:1200,329.0,708.07,87.0
20100105:1300,303.0,700.94,80.0
20100105:1400,227.0,611.33,72.0
20100105:1500,122.0,518.45,43.0
20100105:1600,0.0,0.0,0.0
20100105:1700,0.0,0.0,0.0
20100105:1800,0.0,0.0,0.0
20100105:1900,0.0,0.0,0.0
20100105:2000,0.0,0.0,0.0
20100105:2100,0.0,0.0,0.0
20100105:2200,0.0,0.0,0.0
20100105:2300,0.0,0.0,0.0
20100106:0000,0.0,0.0,0.0
20100106:0100,0.0,0.0,0.0
20100106:0200,0.0,0.0,0.0
20100106:0300,0.0,0.0,0.0
20100106:0400,0.0,0.0,0.0
20100106:0500,0.0,0.0,0.0
20100106:0600,0.0,0.0,0.0
20100106:0700,0.0,0.0,0.0
20100106:0800,0.0,0.0,0.0
20100106:0900,136.0,523.82,49.0
20100106:1000,239.0,625.37,74.0
20100106:1100,297.0,607.24,100.0
20100106:1200,292.0,459.71,134.0
20100106:1300,304.0,689.88,83.0
20100106:1400,224.0,570.38,78.0
20100106:1500,114.0,387.22,54.0
20100106:1600,0.0,0.0,0.0
20100106:1700,0.0,0.0,0.0
20100106:1800,0.0,0.0,0.0
20100106:1900,0.0,0.0,0.0
20100106:2000,0.0,0.0,0.0
20100106:2100,0.0,0.0,0.0
20100106:2200,0.0,0.0,0.0
20100106:2300,0.0,0.0,0.0
20100107:0000,0.0,0.0,0.0
20100107:0100,0.0,0.0,0.0
20100107:0200,0.0,0.0,0.0
20100107:0300,0.0,0.0,0.0
20100107:0400,0.0,0.0,0.0
20100107:0500,0.0,0.0,0.0
20100107:0600,0.0,0.0,0.0
20100107:0700,0.0,0.0,0.0
20100107:0800,0.0,0.0,0.0
20100107:0900,132.0,466.65,54.0
20100107:1000,237.0,591.93,80.0
20100107:1100,157.0,39.86,144.0
20100107:1200,148.0,20.25,141.0
20100107:1300,116.0,6.2,114.0
20100107:1400,154.0,131.53,120.0
20100107:1500,97.0,196.67,66.0
20100107:1600,0.0,0.0,0.0
20100107:1700,0.0,0.0,0.0
20100107:1800,0.0,0.0,0.0
20100107:1900,0.0,0.0,0.0
20100107:2000,0.0,0.0,0.0
20100107:2100,0.0,0.0,0.0
20100107:2200,0.0,0.0,0.0
20100107:2300,0.0,0.0,0.0
20100108:0000,0.0,0.0,0.0
20100108:0100,0.0,0.0,0.0
20100108:0200,0.0,0.0,0.0
20100108:0300,0.0,0.0,0.0
20100108:0400,0.0,0.0,0.0
20100108:0500,0.0,0.0,0.0
20100108:0600,0.0,0.0,0.0
20100108:0700,0.0,0.0,0.0
20100108:0800,0.0,0.0,0.0
20100108:0900,81.0,65.35,70.0
20100108:1000,152.0,108.72,123.0
20100108:1100,134.0,15.24,129.0
20100108:1200,186.0,68.99,162.0
20100108:1300,305.0,667.54,88.0
20100108:1400,223.0,516.99,88.0
20100108:1500,123.0,436.43,53.0
20100108:1600,0.0,0.0,0.0
20100108:1700,0.0,0.0,0.0
20100108:1800,0.0,0.0,0.0
20100108:1900,0.0,0.0,0.0
20100108:2000,0.0,0.0,0.0
20100108:2100,0.0,0.0,0.0
20100108:2200,0.0,0.0,0.0
20100108:2300,0.0,0.0,0.0
20100109:0000,0.0,0.0,0.0
20100109:0100,0.0,0.0,0.0
20100109:0200,0.0,0.0,0.0
20100109:0300,0.0,0.0,0.0
20100109:0400,0.0,0.0,0.0
20100109:0500,0.0,0.0,0.0
20100109:0600,0.0,0.0,0.0
20100109:0700,0.0,0.0,0.0
20100109:0800,12.0,0.0,12.0
20100109:0900,43.0,0.0,43.0
20100109:1000,162.0,134.14,126.0
20100109:1100,222.0,190.94,159.0
20100109:1200,146.0,17.14,140.0
20100109:1300,205.0,146.52,157.0
20100109:1400,83.0,3.79,82.0
20100109:1500,54.0,6.13,53.0
20100109:1600,0.0,0.0,0.0
20100109:1700,0.0,0.0,0.0
20100109:1800,0.0,0.0,0.0
20100109:1900,0.0,0.0,0.0
20100109:2000,0.0,0.0,0.0
20100109:2100,0.0,0.0,0.0
20100109:2200,0.0,0.0,0.0
20100109:2300,0.0,0.0,0.0
20100110:0000,0.0,0.0,0.0
20100110:0100,0.0,0.0,0.0
20100110:0200,0.0,0.0,0.0
20100110:0300,0.0,0.0,0.0
20100110:0400,0.0,0.0,0.0
20100110:0500,0.0,0.0,0.0
20100110:0600,0.0,0.0,0.0
20100110:0700,0.0,0.0,0.0
20100110:0800,10.0,0.0,10.0
20100110:0900,65.0,17.54,62.0
20100110:1000,89.0,3.7,88.0
20100110:1100,99.0,0.0,99.0
20100110:1200,110.0,0.0,110.0
20100110:1300,86.0,0.0,86.0
20100110:1400,86.0,3.75,85.0
20100110:1500,69.0,36.1,63.0
20100110:1600,0.0,0.0,0.0
20100110:1700,0.0,0.0,0.0
20100110:1800,0.0,0.0,0.0
20100110:1900,0.0,0.0,0.0
20100110:2000,0.0,0.0,0.0
20100110:2100,0.0,0.0,0.0
20100110:2200,0.0,0.0,0.0
20100110:2300,0.0,0.0,0.0
20100111:0000,0.0,0.0,0.0
20100111:0100,0.0,0.0,0.0
20100111:0200,0.0,0.0,0.0
20100111:0300,0.0,0.0,0.0
20100111:0400,0.0,0.0,0.0
20100111:0500,0.0,0.0,0.0
20100111:0600,0.0,0.0,0.0
20100111:0700,0.0,0.0,0.0
20100111:0800,12.0,0.0,12.0
20100111:0900,84.0,69.52,72.0
20100111:1000,131.0,47.79,118.0
20100111:1100,131.0,11.97,127.0
20100111:1200,117.0,2.82,116.0
20100111:1300,127.0,9.01,124.0
20100111:1400,101.0,11.13,98.0
20100111:1500,82.0,70.89,70.0
20100111:1600,0.0,0.0,0.0
20100111:1700,0.0,0.0,0.0
20100111:1800,0.0,0.0,0.0
