time(UTC),GHI,DNI,DHI
20100101:0000,0.0,0.0,0.0
20100101:0100,0.0,0.0,0.0
20100101:0200,0.0,0.0,0.0
20100101:0300,0.0,0.0,0.0
20100101:0400,0.0,0.0,0.0
20100101:0500,0.0,0.0,0.0
20100101:0600,0.0,0.0,0.0
20100101:0700,0.0,0.0,0.0
20100101:0800,21.0,77.33,17.0
20100101:0900,78.0,32.85,72.0
20100101:1000,67.0,0.0,67.0
20100101:1100,76.0,0.0,76.0
20100101:1200,137.0,8.29,134.0
20100101:1300,320.0,689.4,88.0
20100101:1400,247.0,653.41,71.0
20100101:1500,132.0,497.76,50.0
20100101:1600,0.0,0.0,0.0
20100101:1700,0.0,0.0,0.0
20100101:1800,0.0,0.0,0.0
20100101:1900,0.0,0.0,0.0
20100101:2000,0.0,0.0,0.0
20100101:2100,0.0,0.0,0.0
20100101:2200,0.0,0.0,0.0
20100101:2300,0.0,0.0,0.0
20100102:0000,0.0,0.0,0.0
20100102:0100,0.0,0.0,0.0
20100102:0200,0.0,0.0,0.0
20100102:0300,0.0,0.0,0.0
20100102:0400,0.0,0.0,0.0
20100102:0500,0.0,0.0,0.0
20100102:0600,0.0,0.0,0.0
20100102:0700,0.0,0.0,0.0
20100102:0800,26.0,173.56,17.0
20100102:0900,155.0,573.61,50.0
20100102:1000,260.0,643.68,78.0
20100102:1100,337.0,752.57,78.0
20100102:1200,361.0,782.19,77.0
20100102:1300,297.0,520.33,121.0
20100102:1400,245.0,619.16,77.0
20100102:1500,114.0,287.58,66.0
20100102:1600,0.0,0.0,0.0
20100102:1700,0.0,0.0,0.0
20100102:1800,0.0,0.0,0.0
20100102:1900,0.0,0.0,0.0
20100102:2000,0.0,0.0,0.0
20100102:2100,0.0,0.0,0.0
20100102:2200,0.0,0.0,0.0
20100102:2300,0.0,0.0,0.0
20100103:0000,0.0,0.0,0.0
20100103:0100,0.0,0.0,0.0
20100103:0200,0.0,0.0,0.0
20100103:0300,0.0,0.0,0.0
20100103:0400,0.0,0.0,0.0
20100103:0500,0.0,0.0,0.0
20100103:0600,0.0,0.0,0.0
20100103:0700,0.0,0.0,0.0
20100103:0800,12.0,0.0,12.0
20100103:0900,55.0,5.45,54.0
20100103:1000,76.0,0.0,76.0
20100103:1100,86.0,0.0,86.0
20100103:1200,113.0,0.0,113.0
20100103:1300,100.0,0.0,100.0
20100103:1400,78.0,0.0,78.0
20100103:1500,47.0,0.0,47.0
20100103:1600,0.0,0.0,0.0
20100103:1700,0.0,0.0,0.0
20100103:1800,0.0,0.0,0.0
20100103:1900,0.0,0.0,0.0
20100103:2000,0.0,0.0,0.0
20100103:2100,0.0,0.0,0.0
20100103:2200,0.0,0.0,0.0
20100103:2300,0.0,0.0,0.0
20100104:0000,0.0,0.0,0.0
20100104:0100,0.0,0.0,0.0
20100104:0200,0.0,0.0,0.0
20100104:0300,0.0,0.0,0.0
20100104:0400,0.0,0.0,0.0
20100104:0500,0.0,0.0,0.0
20100104:0600,0.0,0.0,0.0
20100104:0700,0.0,0.0,0.0
20100104:0800,19.0,57.19,16.0
20100104:0900,105.0,130.27,81.0
20100104:1000,201.0,252.99,129.0
20100104:1100,336.0,726.88,84.0
20100104:1200,360.0,756.25,83.0
20100104:1300,340.0,803.98,65.0
20100104:1400,252.0,645.79,74.0
20100104:1500,120.0,308.93,67.0
20100104:1600,0.0,0.0,0.0
20100104:1700,0.0,0.0,0.0
20100104:1800,0.0,0.0,0.0
20100104:1900,0.0,0.0,0.0
20100104:2000,0.0,0.0,0.0
20100104:2100,0.0,0.0,0.0
20100104:2200,0.0,0.0,0.0
20100104:2300,0.0,0.0,0.0
20100105:0000,0.0,0.0,0.0
20100105:0100,0.0,0.0,0.0
20100105:0200,0.0,0.0,0.0
20100105:0300,0.0,0.0,0.0
20100105:0400,0.0,0.0,0.0
20100105:0500,0.0,0.0,0.0
20100105:0600,0.0,0.0,0.0
20100105:0700,0.0,0.0,0.0
20100105:0800,10.0,0.0,10.0
20100105:0900,75.0,27.03,70.0
20100105:1000,63.0,0.0,63.0
20100105:1100,66.0,0.0,66.0
20100105:1200,72.0,0.0,72.0
20100105:1300,98.0,0.0,98.0
20100105:1400,96.0,7.2,94.0
20100105:1500,56.0,5.75,55.0
20100105:1600,0.0,0.0,0.0
20100105:1700,0.0,0.0,0.0
20100105:1800,0.0,0.0,0.0
20100105:1900,0.0,0.0,0.0
20100105:2000,0.0,0.0,0.0
20100105:2100,0.0,0.0,0.0
20100105:2200,0.0,0.0,0.0
20100105:2300,0.0,0.0,0.0
20100106:0000,0.0,0.0,0.0
20100106:0100,0.0,0.0,0.0
20100106:0200,0.0,0.0,0.0
20100106:0300,0.0,0.0,0.0
20100106:0400,0.0,0.0,0.0
20100106:0500,0.0,0.0,0.0
20100106:0600,0.0,0.0,0.0
20100106:0700,0.0,0.0,0.0
20100106:0800,22.0,93.43,17.0
20100106:0900,119.0,209.79,80.0
20100106:1000,280.0,787.66,54.0
20100106:1100,296.0,451.81,138.0
20100106:1200,352.0,675.76,102.0
20100106:1300,297.0,479.35,131.0
20100106:1400,140.0,57.07,124.0
20100106:1500,126.0,328.41,68.0
20100106:1600,10.0,0.0,10.0
20100106:1700,0.0,0.0,0.0
20100106:1800,0.0,0.0,0.0
20100106:1900,0.0,0.0,0.0
20100106:2000,0.0,0.0,0.0
20100106:2100,0.0,0.0,0.0
20100106:2200,0.0,0.0,0.0
20100106:2300,0.0,0.0,0.0
20100107:0000,0.0,0.0,0.0
20100107:0100,0.0,0.0,0.0
20100107:0200,0.0,0.0,0.0
20100107:0300,0.0,0.0,0.0
20100107:0400,0.0,0.0,0.0
20100107:0500,0.0,0.0,0.0
20100107:0600,0.0,0.0,0.0
20100107:0700,0.0,0.0,0.0
20100107:0800,23.0,110.67,17.0
20100107:0900,107.0,133.75,82.0
20100107:1000,133.0,38.16,122.0
20100107:1100,164.0,34.15,152.0
20100107:1200,133.0,5.38,131.0
20100107:1300,127.0,5.74,125.0
20100107:1400,77.0,0.0,77.0
20100107:1500,72.0,27.89,67.0
20100107:1600,13.0,0.0,13.0
20100107:1700,0.0,0.0,0.0
20100107:1800,0.0,0.0,0.0
20100107:1900,0.0,0.0,0.0
20100107:2000,0.0,0.0,0.0
20100107:2100,0.0,0.0,0.0
20100107:2200,0.0,0.0,0.0
20100107:2300,0.0,0.0,0.0
20100108:0000,0.0,0.0,0.0
20100108:0100,0.0,0.0,0.0
20100108:0200,0.0,0.0,0.0
20100108:0300,0.0,0.0,0.0
20100108:0400,0.0,0.0,0.0
20100108:0500,0.0,0.0,0.0
20100108:0600,0.0,0.0,0.0
20100108:0700,0.0,0.0,0.0
20100108:0800,24.0,109.02,18.0
20100108:0900,153.0,494.57,60.0
20100108:1000,260.0,590.19,89.0
20100108:1100,345.0,744.62,82.0
20100108:1200,375.0,804.61,74.0
20100108:1300,325.0,621.08,107.0
20100108:1400,161.0,101.58,132.0
20100108:1500,108.0,159.3,79.0
20100108:1600,13.0,0.0,13.0
20100108:1700,0.0,0.0,0.0
20100108:1800,0.0,0.0,0.0
20100108:1900,0.0,0.0,0.0
20100108:2000,0.0,0.0,0.0
20100108:2100,0.0,0.0,0.0
20100108:2200,0.0,0.0,0.0
20100108:2300,0.0,0.0,0.0
20100109:0000,0.0,0.0,0.0
20100109:0100,0.0,0.0,0.0
20100109:0200,0.0,0.0,0.0
20100109:0300,0.0,0.0,0.0
20100109:0400,0.0,0.0,0.0
20100109:0500,0.0,0.0,0.0
20100109:0600,0.0,0.0,0.0
20100109:0700,0.0,0.0,0.0
20100109:0800,29.0,196.53,18.0
20100109:0900,137.0,327.54,75.0
20100109:1000,219.0,312.37,128.0
20100109:1100,236.0,180.22,172.0
20100109:1200,255.0,188.66,184.0
20100109:1300,114.0,2.83,113.0
20100109:1400,50.0,0.0,50.0
20100109:1500,147.0,475.93,59.0
20100109:1600,16.0,0.0,16.0
20100109:1700,0.0,0.0,0.0
20100109:1800,0.0,0.0,0.0
20100109:1900,0.0,0.0,0.0
20100109:2000,0.0,0.0,0.0
20100109:2100,0.0,0.0,0.0
20100109:2200,0.0,0.0,0.0
20100109:2300,0.0,0.0,0.0
20100110:0000,0.0,0.0,0.0
20100110:0100,0.0,0.0,0.0
20100110:0200,0.0,0.0,0.0
20100110:0300,0.0,0.0,0.0
20100110:0400,0.0,0.0,0.0
20100110:0500,0.0,0.0,0.0
20100110:0600,0.0,0.0,0.0
20100110:0700,0.0,0.0,0.0
20100110:0800,17.0,17.54,16.0
20100110:0900,79.0,26.23,74.0
20100110:1000,133.0,34.13,123.0
20100110:1100,157.0,22.4,149.0
20100110:1200,205.0,71.3,178.0
20100110:1300,303.0,463.31,138.0
20100110:1400,207.0,257.69,132.0
20100110:1500,128.0,266.17,78.0
20100110:1600,15.0,0.0,15.0
20100110:1700,0.0,0.0,0.0
20100110:1800,0.0,0.0,0.0
20100110:1900,0.0,0.0,0.0
20100110:2000,0.0,0.0,0.0
20100110:2100,0.0,0.0,0.0
20100110:2200,0.0,0.0,0.0
20100110:2300,0.0,0.0,0.0
20100111:0000,0.0,0.0,0.0
20100111:0100,0.0,0.0,0.0
20100111:0200,0.0,0.0,0.0
20100111:0300,0.0,0.0,0.0
20100111:0400,0.0,0.0,0.0
20100111:0500,0.0,0.0,0.0
20100111:0600,0.0,0.0,0.0
20100111:0700,0.0,0.0,0.0
20100111:0800,26.0,120.31,19.0
20100111:0900,151.0,431.98,68.0
20100111:1000,191.0,176.36,139.0
20100111:1100,256.0,239.34,170.0
20100111:1200,292.0,304.34,176.0
20100111:1300,349.0,732.87,86.0
20100111:1400,229.0,363.99,122.0
20100111:1500,97.0,78.58,82.0
20100111:1600,18.0,0.0,18.0
20100111:1700,0.0,0.0,0.0
20100111:1800,0.0,0.0,0.0
